id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
37295012,Free Private Parking: Entire Studio,230569854,Brandon,,"River Terrace, Benning, Greenway, Dupont Park",38.89207,-76.95435,Entire home/apt,79,1,125,2021-07-05,5.54,2,122
37298554,Cozy room right next to the Georgia metro,315148,John,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93627,-77.02365,Private room,38,28,1,2019-09-01,0.04,32,345
37299481,Historic Georgetown from a Bright English Basement,53222831,Brian,,"Georgetown, Burleith/Hillandale",38.91034,-77.05512,Entire home/apt,374,2,44,2021-07-05,17.84,1,49
37303418,"NEW Superb, Designed, Historic House in Georgetown",220632646,Alvaro,,"Georgetown, Burleith/Hillandale",38.90781,-77.06249,Entire home/apt,500,2,85,2021-06-25,3.88,1,23
37310619,"Hip Mt Vernon 1BR w/ Gym + W/D + Rooftop, near 14th Street, by Blueground",107434423,Blueground,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90109,-77.01978,Entire home/apt,189,30,0,,,131,40
37310740,Lux Foggy Bottom 1BR w/ W/D + Gym near Kennedy Center by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.8978,-77.05007,Entire home/apt,137,30,1,2021-01-05,0.16,131,341
37310777,Sleek Foggy Bottom 1BR w/ W/D + Gym near State Department by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89745,-77.05201,Entire home/apt,136,30,1,2020-08-10,0.09,131,322
37310830,"Comfy Foggy Bottom 1BR w/ W/D + Gym near IMF & State Dept, by Blueground",107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89896,-77.05068,Entire home/apt,145,30,2,2021-05-25,0.30,131,340
37311019,Hip Foggy Bottom 1BR w/ W/D + Gym near Whole Foods by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89878,-77.05242,Entire home/apt,141,30,0,,,131,330
37311071,Snazzy Foggy Bottom 1BR w/ W/D + Gym near Kennedy Center by Blueground,107434423,Blueground,,"West End, Foggy Bottom, GWU",38.89727,-77.05222,Entire home/apt,141,30,0,,,131,344
37311115,Comfy Georgetown 1BR w/ bike storage near Waterfront by Blueground,107434423,Blueground,,"Georgetown, Burleith/Hillandale",38.91112,-77.05998,Entire home/apt,205,30,0,,,131,339
37333237,Comfy&Chic Getaway Minutes to Navy Yard and More,24936720,Nikki,,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85186,-76.96835,Entire home/apt,300,1,12,2020-03-15,0.52,1,178
37336048,H STREET HAVEN,25854085,Kurt,,"Union Station, Stanton Park, Kingman Park",38.8954,-76.97637,Entire home/apt,80,1,1,2019-09-12,0.04,1,283
37355694,Home Away Rental,131915909,Josie,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88096,-77.02541,Private room,100,5,8,2020-09-30,2.61,3,38
37361680,"Modern, Cozy, Petworth Sanctuary",16241494,Melissa,,"Brightwood Park, Crestwood, Petworth",38.95414,-77.02489,Entire home/apt,70,1,26,2020-03-15,1.24,1,0
37391192,Modern Basement in Brookland,72440,Joel West,,"Brookland, Brentwood, Langdon",38.93101,-76.9769,Entire home/apt,46,3,71,2021-06-24,3.29,1,18
37398161,Modern Southwestern: Casa Maya Studio Apartment,257055626,Renee,,"Takoma, Brightwood, Manor Park",38.95643,-77.01038,Private room,66,3,2,2019-10-26,0.10,24,169
